Link	Mark	Placement_date	Price	Title	VIN	Views	Владельцы	Госномер	Двигатель	Коробка	Кузов	Налог	ПТС	Привод	Пробег	Руль	Состояние	Таможня	Цвет	год выпуска	Владение	Кузов №	Обмен	Гарантия	Запас хода
https://auto.ru/cars/used/sale/lexus/es/1103327547-8cd6a8c0/	Lexus	5 июня	2 769 000 ₽	Lexus ES  VII 250	JTH**************	206 (206 сегодня)	2 владельца		2.5 л / 200 л.с. / Бензин	автоматическая	седан	10 000 ₽ / год	Оригинал	передний	86 364 км	Левый	Не требует ремонта	Растаможен	чёрный	2019					
https://auto.ru/cars/used/sale/vaz/granta/1103680397-dbd9b994/	LADA (ВАЗ)	2 июня	244 000 ₽	LADA (ВАЗ) Granta I	XTA**************	824 (450 сегодня)	1 владелец	******|777	1.6 л / 87 л.с. / Бензин	механическая	седан	1 044 ₽ / год	Оригинал	передний	50 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2016					
https://auto.ru/cars/used/sale/bmw/i8/1101804949-f251e1da/	BMW	5 июня	6 990 000 ₽	BMW i8 I Рестайлинг	WBY**************	609 (609 сегодня)	3 или более		1.5 л / 231 л.с. / Гибрид	автоматическая	купе	17 325 ₽ / год	Оригинал	полный	17 979 км	Левый	Не требует ремонта	Растаможен	серый	2018			Рассмотрю варианты		55 км
https://auto.ru/cars/used/sale/dodge/charger/1101478610-5951e132/	Dodge	29 мая	2 200 000 ₽	Dodge Charger VI (LD) Рестайлинг	2C3**************	3038 (166 сегодня)	1 владелец	******|790	3.6 л / 296 л.с. / Бензин	автоматическая	седан	44 400 ₽ / год	Оригинал	задний	72 100 км	Левый	Не требует ремонта	Растаможен	голубой	2015					
https://auto.ru/cars/used/sale/haval/f7x/1102563265-b46f85a4/	Haval	4 июня	1 800 000 ₽	Haval F7x I	XZG**************	652 (385 сегодня)	1 владелец		2.0 л / 190 л.с. / Бензин	роботизированная	внедорожник 5 дв.	9 500 ₽ / год	Оригинал	полный	10 000 км	Левый	Не требует ремонта	Растаможен	синий	2020			Рассмотрю варианты		
https://auto.ru/cars/used/sale/ssang_yong/stavic/1103610402-11600a68/	SsangYong	4 июня	1 250 000 ₽	SsangYong Stavic	KPT**************	184 (103 сегодня)	2 владельца	******|750	2.0 л / 149 л.с. / Дизель	автоматическая	минивэн	5 215 ₽ / год	Оригинал	полный	162 000 км	Левый	Не требует ремонта	Растаможен	красный	2014	5 лет и 3 месяца				
https://auto.ru/cars/used/sale/mercedes/cla_klasse/1102922537-b8407c93/	Mercedes-Benz	5 июня	1 239 000 ₽	Mercedes-Benz CLA  I (C117, X117) 200	WDD**************	12 (12 сегодня)	3 или более		1.6 л / 156 л.с. / Бензин	роботизированная	седан	7 020 ₽ / год	Оригинал	передний	53 000 км	Левый	Не требует ремонта	Растаможен	белый	2013			Рассмотрю варианты		
https://auto.ru/cars/used/sale/haval/h9/1103745033-aaedf8c8/	Haval	31 мая	2 100 000 ₽	Haval H9 I Рестайлинг	LGW**************	1600 (167 сегодня)	1 владелец	******|790	2.0 л / 245 л.с. / Бензин	автоматическая	внедорожник 5 дв.	18 375 ₽ / год	Оригинал	полный	72 878 км	Левый	Не требует ремонта	Растаможен	чёрный	2018			Рассмотрю варианты		
https://auto.ru/cars/used/sale/audi/s6/1103640592-237a1b87/	Audi	4 июня	3 049 000 ₽	Audi S6 IV (C7) Рестайлинг	WAU**************	593 (294 сегодня)	3 или более		4.0 л / 450 л.с. / Бензин	роботизированная	седан	67 500 ₽ / год	Оригинал	полный	72 032 км	Левый	Не требует ремонта	Растаможен	белый	2016			Рассмотрю варианты		
https://auto.ru/cars/used/sale/porsche/cayman/1103459792-b5507aeb/	Porsche	4 июня	3 200 000 ₽	Porsche Cayman  II (981) S	WP0**************	569 (324 сегодня)	3 или более	******|799	3.4 л / 325 л.с. / Бензин	роботизированная	купе	48 750 ₽ / год	Дубликат	задний	54 245 км	Левый	Не требует ремонта	Растаможен	красный	2013					
